# Ngay, SoTien, TenDanhMuc, GhiChu
01-05-2026, 5000000, lương, Nhận lương part-time tháng 4
01-05-2026, 1200000, sinh hoạt, Tiền phòng trọ và điện nước
02-05-2026, 35000, ăn uống, Ăn sáng xôi ruốc
02-05-2026, 60000, ăn uống, Cơm trưa bình dân
02-05-2026, 20000, đi lại, Gửi xe tháng ở trường
03-05-2026, 45000, ăn uống, Bún chả buổi trưa
03-05-2026, 30000, giải trí, Mua nước mía cùng bạn
04-05-2026, 50000, ăn uống, Cơm tối
04-05-2026, 100000, đi lại, Đổ xăng xe máy
05-05-2026, 500000, cho vay, Tuấn mượn tiền đóng tiền quỹ khóa học
05-05-2026, 40000, ăn uống, Bánh mì và sữa sáng
06-05-2026, 65000, ăn uống, Phở bò chiều
06-05-2026, 150000, học tập, Mua giáo trình Cấu trúc dữ liệu
07-05-2026, 120000, giải trí, Đi xem phim rạp
07-05-2026, 55000, ăn uống, Cơm tấm sườn
08-05-2026, 35000, ăn uống, Cà phê quán cóc
08-05-2026, 70000, sinh hoạt, Mua bột giặt và kem đánh răng
09-05-2026, 45000, ăn uống, Bún riêu cua
09-05-2026, 30000, đi lại, Vá xe máy bị thủng lốp
10-05-2026, 500000, thu nợ, Tuấn chuyển khoản trả lại tiền mượn hôm mùng 5
10-05-2026, 60000, ăn uống, Cơm trưa văn phòng
11-05-2026, 40000, ăn uống, Hủ tiếu gõ tối
11-05-2026, 250000, học tập, Đăng ký tài khoản Premium học Code
12-05-2026, 55000, ăn uống, Cơm gà xối mỡ
12-05-2026, 90000, giải trí, Trà sữa với nhóm bạn bài tập lớn
13-05-2026, 35000, ăn uống, Bánh mì chả cá
13-05-2026, 45000, ăn uống, Cơm trưa
14-05-2026, 1000000, đi vay, Mượn anh trai tiền mua sắm đồ dùng học tập
14-05-2026, 850000, học tập, Mua chuột và bàn phím cơ mới để code
15-05-2026, 50000, ăn uống, Bún đậu mắm tôm trưa
15-05-2026, 30000, đi lại, Đổ thêm xăng
16-05-2026, 60000, ăn uống, Cơm tối với bạn
16-05-2026, 50000, sinh hoạt, Tiền cắt tóc
17-05-2026, 45000, ăn uống, Phở gà sáng
17-05-2026, 200000, thưởng, Tiền thưởng giải bài tập tuần xuất sắc
18-05-2026, 55000, ăn uống, Cơm trưa suất đặc biệt
18-05-2026, 1000000, trả nợ, Chuyển khoản trả nợ cho anh trai mua đồ hôm trước
19-05-2026, 40000, ăn uống, Bánh cuốn chiều
19-05-2026, 60000, giải trí, Mua vé gửi xe và nước ngọt công viên
20-05-2026, 50000, ăn uống, Cơm sườn tối
20-05-2026, 120000, sinh hoạt, Mua đồ gia dụng nhỏ trong phòng
21-05-2026, 35000, ăn uống, Xôi gà xé sáng
22-05-2026, 60000, ăn uống, Bún chả trưa
22-05-2026, 100000, đi lại, Đổ xăng định kỳ
23-05-2026, 45000, ăn uống, Cơm văn phòng
23-05-2026, 150000, giải trí, Đi ăn đồ nướng vỉa hè
24-05-2026, 55000, ăn uống, Phở bò sốt vang
25-05-2026, 40000, ăn uống, Bánh mì sốt vang sáng
25-05-2026, 300000, học tập, Tiền quỹ lớp kỳ này
26-05-2026, 60000, ăn uống, Cơm trưa suất gia đình
26-05-2026, 50000, sinh hoạt, Mua thẻ nạp điện thoại
27-05-2026, 45000, ăn uống, Bún cá chấm
27-05-2026, 80000, giải trí, Cà phê họp nhóm làm tiểu luận
28-05-2026, 50000, ăn uống, Cơm tối muộn
28-05-2026, 300000, cho vay, Cho Dũng cùng tổ mượn mua tài liệu
29-05-2026, 55000, ăn uống, Cơm tấm trưa
29-05-2026, 300000, thu nợ, Dũng trả lại tiền mượn qua tài khoản
30-05-2026, 40000, ăn uống, Bánh mì kẹp thịt sáng
30-05-2026, 100000, đi lại, Đổ xăng xe chuẩn bị về quê
31-05-2026, 65000, ăn uống, Lẩu cốc liên hoan cuối tháng
01-06-2026, 5500000, lương, Nhận lương part-time tháng 5 nâng hiệu suất
01-06-2026, 1250000, sinh hoạt, Tiền phòng trọ tháng mới và mạng internet
02-06-2026, 35000, ăn uống, Xôi thập cẩm sáng
02-06-2026, 60000, ăn uống, Cơm rang dưa bò trưa
02-06-2026, 20000, đi lại, Vé gửi xe thư viện trường
03-06-2026, 45000, ăn uống, Bún bò Huế trưa
03-06-2026, 50000, giải trí, Mua kem và trà đá với bạn
04-06-2026, 55000, ăn uống, Cơm sườn nướng tối
04-06-2026, 100000, đi lại, Đổ xăng xe máy đầy bình
05-06-2026, 1500000, đi vay, Vay bạn Linh đóng tiền học phí tiếng Anh còn thiếu
05-06-2026, 40000, ăn uống, Bánh mì pate trứng sáng
06-06-2026, 65000, ăn uống, Phở trộn trưa
06-06-2026, 500000, học tập, Đăng ký thi chứng chỉ online
07-06-2026, 1500000, trả nợ, Trả hết tiền học phí mượn Linh hôm trước
07-06-2026, 55000, ăn uống, Cơm gà chiên mắm
08-06-2026, 35000, ăn uống, Cà phê sữa đá sáng
08-06-2026, 90000, sinh hoạt, Mua dầu gội và khăn mặt mới
09-06-2026, 45000, ăn uống, Mì quảng chiều
10-06-2026, 60000, ăn uống, Cơm trưa văn phòng
10-06-2026, 200000, giải trí, Đi hát karaoke sinh nhật bạn
11-06-2026, 40000, ăn uống, Hủ tiếu nam vang tối
11-06-2026, 120000, học tập, Mua sổ tay và bút ký cao cấp
12-06-2026, 55000, ăn uống, Cơm đùi gà nướng
12-06-2026, 30000, đi lại, Sửa xăm xe máy bị dính đinh
13-06-2026, 35000, ăn uống, Bánh mì xúc xích sáng
13-06-2026, 45000, ăn uống, Cơm thịt kho tàu trưa
14-06-2026, 50000, ăn uống, Bún trộn nam bộ tối
14-06-2026, 500000, thưởng, Học bổng khuyến khích học tập kỳ vừa rồi
15-06-2026, 55000, ăn uống, Cơm sườn bì chả
15-06-2026, 100000, đi lại, Đổ xăng chạy đi làm thêm
16-06-2026, 60000, ăn uống, Mì cay Hàn Quốc tối
16-06-2026, 35000, sinh hoạt, Mua bóng đèn tuýp thay bóng hỏng
17-06-2026, 45000, ăn uống, Miến lươn trộn sáng
17-06-2026, 150000, giải trí, Mua quà sinh nhật nhỏ cho bạn cùng phòng
18-06-2026, 55000, ăn uống, Cơm trưa văn phòng suất lớn